questionId,title,titleSlug,difficulty,acRate,isPaidOnly,topicTags,categoryTitle
1,Two Sum,two-sum,Easy,57.05,False,"Array,Hash Table",Algorithms
2,Add Two Numbers,add-two-numbers,Medium,47.91,False,"Linked List,Math,Recursion",Algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,38.47,False,"Hash Table,String,Sliding Window",Algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,45.88,False,"Array,Binary Search,Divide and Conquer",Algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,37.29,False,"Two Pointers,String,Dynamic Programming",Algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,53.49,False,String,Algorithms
7,Reverse Integer,reverse-integer,Medium,31.48,False,Math,Algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,20.55,False,String,Algorithms
9,Palindrome Number,palindrome-number,Easy,60.23,False,Math,Algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,30.41,False,"String,Dynamic Programming,Recursion",Algorithms
11,Container With Most Water,container-with-most-water,Medium,59.49,False,"Array,Two Pointers,Greedy",Algorithms
12,Integer to Roman,integer-to-roman,Medium,70.39,False,"Hash Table,Math,String",Algorithms
13,Roman to Integer,roman-to-integer,Easy,66.22,False,"Hash Table,Math,String",Algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,47.06,False,"Array,String,Trie",Algorithms
15,3Sum,3sum,Medium,38.55,False,"Array,Two Pointers,Sorting",Algorithms
16,3Sum Closest,3sum-closest,Medium,48.01,False,"Array,Two Pointers,Sorting",Algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,65.47,False,"Hash Table,String,Backtracking",Algorithms
18,4Sum,4sum,Medium,39.96,False,"Array,Two Pointers,Sorting",Algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,50.95,False,"Linked List,Two Pointers",Algorithms
20,Valid Parentheses,valid-parentheses,Easy,43.68,False,"String,Stack",Algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,67.9,False,"Linked List,Recursion",Algorithms
22,Generate Parentheses,generate-parentheses,Medium,78.24,False,"String,Dynamic Programming,Backtracking",Algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,58.83,False,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort",Algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,68.91,False,"Linked List,Recursion",Algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,65.3,False,"Linked List,Recursion",Algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,62.23,False,"Array,Two Pointers",Algorithms
27,Remove Element,remove-element,Easy,61.34,False,"Array,Two Pointers",Algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,46.22,False,"Two Pointers,String,String Matching",Algorithms
29,Divide Two Integers,divide-two-integers,Medium,19.36,False,"Math,Bit Manipulation",Algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,33.95,False,"Hash Table,String,Sliding Window",Algorithms
31,Next Permutation,next-permutation,Medium,44.7,False,"Array,Two Pointers",Algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,37.99,False,"String,Dynamic Programming,Stack",Algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,44.09,False,"Array,Binary Search",Algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,48.32,False,"Array,Binary Search",Algorithms
35,Search Insert Position,search-insert-position,Easy,50.67,False,"Array,Binary Search",Algorithms
36,Valid Sudoku,valid-sudoku,Medium,64.12,False,"Array,Hash Table,Matrix",Algorithms
37,Sudoku Solver,sudoku-solver,Hard,65.38,False,"Array,Hash Table,Backtracking,Matrix",Algorithms
38,Count and Say,count-and-say,Medium,62.28,False,String,Algorithms
39,Combination Sum,combination-sum,Medium,76.07,False,"Array,Backtracking",Algorithms
40,Combination Sum II,combination-sum-ii,Medium,58.96,False,"Array,Backtracking",Algorithms
41,First Missing Positive,first-missing-positive,Hard,42.39,False,"Array,Hash Table",Algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,66.76,False,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",Algorithms
43,Multiply Strings,multiply-strings,Medium,43.53,False,"Math,String,Simulation",Algorithms
44,Wildcard Matching,wildcard-matching,Hard,31.34,False,"String,Dynamic Programming,Greedy,Recursion",Algorithms
45,Jump Game II,jump-game-ii,Medium,42.45,False,"Array,Dynamic Programming,Greedy",Algorithms
